row_id,delay_risk_pct,risk_category
1,0,LOW
2,0,LOW
3,0,LOW
4,0,LOW
5,0,LOW
6,0,LOW
7,0,LOW
8,0,LOW
9,0,LOW
10,0,LOW
11,0,LOW
12,0,LOW
13,0,LOW
14,0,LOW
15,0,LOW
16,0,LOW
17,0,LOW
18,0,LOW
19,0,LOW
20,0,LOW
21,0,LOW
22,0,LOW
23,0,LOW
24,0,LOW
25,0,LOW
26,0,LOW
27,0,LOW
28,0,LOW
29,0,LOW
30,0,LOW
31,0,LOW
32,0,LOW
33,0,LOW
34,0,LOW
35,0,LOW
36,0,LOW
37,0,LOW
38,0,LOW
39,0,LOW
40,0,LOW
41,0,LOW
42,0,LOW
43,0,LOW
44,0,LOW
45,0,LOW
46,0,LOW
47,0,LOW
48,0,LOW
49,0,LOW
50,0,LOW
51,0,LOW
52,0,LOW
53,0,LOW
54,0,LOW
55,0,LOW
56,0,LOW
57,0,LOW
58,0,LOW
59,0,LOW
60,0,LOW
61,0,LOW
62,0,LOW
63,0,LOW
64,0,LOW
65,0,LOW
66,0,LOW
67,0,LOW
68,0,LOW
69,0,LOW
70,0,LOW
71,0,LOW
72,0,LOW
73,0,LOW
74,0,LOW
75,0,LOW
76,0,LOW
77,0,LOW
78,0,LOW
79,0,LOW
80,0,LOW
81,0,LOW
82,0,LOW
83,0,LOW
84,0,LOW
85,0,LOW
86,0,LOW
87,0,LOW
88,0,LOW
89,0,LOW
90,0,LOW
91,0,LOW
92,0,LOW
93,0,LOW
94,0,LOW
95,0,LOW
96,0,LOW
97,0,LOW
98,0,LOW
99,0,LOW
100,0,LOW
101,0,LOW
102,0,LOW
103,0,LOW
104,0,LOW
105,0,LOW
106,0,LOW
107,0,LOW
108,0,LOW
109,0,LOW
110,0,LOW
111,0,LOW
112,0,LOW
113,0,LOW
114,0,LOW
115,0,LOW
116,0,LOW
117,0,LOW
118,0,LOW
119,0,LOW
120,0,LOW
121,0,LOW
122,0,LOW
123,0,LOW
124,0,LOW
125,0,LOW
126,0,LOW
127,0,LOW
128,0,LOW
129,0,LOW
130,0,LOW
131,0,LOW
132,0,LOW
133,0,LOW
134,0,LOW
135,0,LOW
136,0,LOW
137,0,LOW
138,0,LOW
139,0,LOW
140,0,LOW
141,0,LOW
142,0,LOW
143,0,LOW
144,0,LOW
145,0,LOW
146,0,LOW
147,0,LOW
148,0,LOW
149,0,LOW
150,0,LOW
151,0,LOW
152,0,LOW
153,0,LOW
154,0,LOW
155,0,LOW
156,0,LOW
157,0,LOW
158,0,LOW
159,0,LOW
160,0,LOW
161,0,LOW
162,0,LOW
163,0,LOW
164,0,LOW
165,0,LOW
166,0,LOW
167,0,LOW
168,0,LOW
169,0,LOW
170,0,LOW
171,0,LOW
172,0,LOW
173,0,LOW
174,0,LOW
175,0,LOW
176,0,LOW
177,0,LOW
178,0,LOW
179,0,LOW
180,0,LOW
181,0,LOW
182,0,LOW
183,0,LOW
184,0,LOW
185,0,LOW
186,0,LOW
187,0,LOW
188,0,LOW
189,0,LOW
190,0,LOW
191,0,LOW
192,0,LOW
193,0,LOW
194,0,LOW
195,0,LOW
196,0,LOW
197,0,LOW
198,0,LOW
199,0,LOW
200,0,LOW
201,0,LOW
202,0,LOW
203,0,LOW
204,0,LOW
205,0,LOW
206,0,LOW
207,0,LOW
208,0,LOW
209,0,LOW
210,0,LOW
211,0,LOW
212,0,LOW
213,0,LOW
214,0,LOW
215,0,LOW
216,0,LOW
217,0,LOW
218,0,LOW
219,0,LOW
220,0,LOW
221,0,LOW
222,0,LOW
223,0,LOW
224,0,LOW
225,0,LOW
226,0,LOW
227,0,LOW
228,0,LOW
229,0,LOW
230,0,LOW
231,0,LOW
232,0,LOW
233,0,LOW
234,0,LOW
235,0,LOW
236,0,LOW
237,0,LOW
238,0,LOW
239,0,LOW
240,0,LOW
241,0,LOW
242,0,LOW
243,0,LOW
244,0,LOW
245,0,LOW
246,0,LOW
247,0,LOW
248,0,LOW
249,0,LOW
250,0,LOW
251,0,LOW
